sample	ID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	group
TS-434	97	-0.0955655	-0.105462	0.00438678	0.0110455	0.0141774	0.0384993	0.00126925	0.0231597	0.0127841	-0.00348512	PIM
TS-435	98	-0.0896026	-0.0930158	0.00472128	0.0114417	0.0133744	0.0327907	-0.0108593	0.0100204	-0.00034017	-0.0106763	PIM
TS-436	99	0.0278971	-0.0221002	0.0122371	-0.0065272	0.0219439	-0.0095289	0.0539704	-0.0188753	0.0536683	-0.0650108	CER
TS-437	100	-0.0985001	-0.102586	0.0079996	0.00763557	-0.0115912	0.0249371	-0.00444458	0.011404	0.0321157	-0.01911	PIM
TS-438	101	-0.0897527	-0.0658653	0.00687548	-0.00949921	-0.0337235	-0.0086977	0.00218614	0.00023174	-0.0113506	0.0615421	PIM
TS-439	102	-0.0897309	-0.0905281	-0.00289011	0.0257679	0.0405333	0.0123548	-0.0030886	-0.000562384	-0.0755809	-0.0487936	PIM
TS-440	104	-0.0996295	-0.0467642	-0.00065151	-0.0516295	-0.0134585	0.0373221	0.0205848	0.0616793	-0.00703495	0.0981106	PIM
TS-441	105	-0.0922067	-0.0984298	0.00517345	0.0119211	0.0143367	0.0370109	-0.00904187	0.0173905	0.0101431	-0.0142271	PIM
TS-50	111	-0.103292	0.166181	0.0493006	-0.0574426	-0.0682796	0.00112393	-0.0231519	-0.0725641	-0.016737	0.110051	PIM
TS-53	114	-0.0707546	0.135781	-0.0695991	-0.28965	-0.18149	-0.0767879	0.0115951	0.0155021	-0.0527857	0.221349	CER
TS-54	115	0.0509577	-0.0260406	-0.0360167	0.0215954	-0.000924805	-0.122075	0.0612582	0.0530791	-0.0157113	0.0372966	CER
TS-56	117	0.00165644	0.105138	-0.00919842	0.102098	0.103181	-0.0241338	-0.0414394	-0.15156	-0.134782	0.0507685	CER
TS-57	118	0.0343656	0.065891	-0.0194192	0.0747783	0.0236751	-0.0217868	0.0291559	0.0267798	-0.0179855	0.109461	CER
TS-61	122	0.0976865	0.0169527	0.000892366	0.071126	-0.242803	0.25685	0.17921	-0.0340606	-0.0481777	-0.1157	CER
TS-62	123	0.0341158	-0.0202098	-0.0671545	0.0808591	0.0390263	-0.0714931	0.0643856	0.000659237	-0.0335629	0.0441625	CER
TS-63	124	0.0929335	0.00733037	-0.03574	0.0632964	-0.0452844	-0.0701536	-0.121412	0.0654831	0.000346576	0.0374549	CER
TS-64	125	0.031779	0.000305035	-0.10198	-0.00509209	0.0925649	-0.0334497	0.00755028	-0.11985	-0.0897475	-0.11303	CER
TS-65	126	0.0777013	0.0138731	-0.0234101	0.030522	0.0231984	0.0577543	0.0550331	-0.0347747	0.199588	-0.0232606	CER
TS-66	127	0.0493252	-0.0108378	-0.0149754	-0.0235304	-0.00415542	-0.0304078	-0.215241	0.107664	-0.0337681	-0.120701	CER
TS-67	128	0.0633921	-0.000228202	-0.0335685	0.0277963	0.0120331	0.0275358	0.083313	-0.0938213	0.161779	0.0119361	CER
TS-70	131	0.0962578	0.00363336	0.00509914	0.0431507	-0.0994713	-0.00175968	-0.0449655	0.0747924	-0.0528869	-0.0395666	CER
TS-71	132	0.0393673	-0.0151844	-0.0693342	0.0948529	0.0242211	-0.0837471	0.0810216	0.013784	-0.00977318	0.0684532	CER
TS-72	133	0.0803204	0.00820782	-0.0592155	0.0639483	-0.0105339	-0.0660748	0.0116251	0.0123678	0.0127845	-0.00618406	CER
TS-75	136	0.0935774	0.00731365	-0.0324577	0.0643508	-0.057412	-0.0677727	-0.13886	0.0761782	-0.0151153	0.0342047	CER
TS-77	138	-0.0885385	-0.0924268	0.00276643	0.0156237	0.0248106	0.0327079	-0.00770728	0.0156051	-0.0229063	-0.0193972	PIM
TS-79	140	-0.0892868	-0.0929721	0.00157475	0.017472	0.0313981	0.0327144	-0.00596054	0.0158012	-0.0410016	-0.0217308	PIM
TS-83	144	0.0832256	0.00679724	0.0260544	-0.000905967	0.0206224	0.0628475	0.065492	-0.118046	0.17879	0.136218	CER
TS-84	145	0.0316518	0.088004	-0.119426	-0.0915159	0.107541	0.151228	0.0656856	0.0441218	0.0319535	0.126351	CER
TS-87	148	0.0458954	-0.00810448	0.12741	-0.0419228	0.00638518	-0.0116832	-0.0300146	-0.0445075	-0.0573915	0.0291862	CER
TS-91	152	0.06791	0.00665425	-0.0690193	0.0706406	0.025387	-0.0697641	0.0202013	-0.0125215	-0.00554446	0.0586192	CER
TS-92	153	-0.0959838	-0.0911734	0.0106358	0.0102634	-0.011097	0.021152	-0.0119537	-0.00421955	0.0249063	-0.0290143	PIM
TS-94	155	0.0269033	-0.0322858	-0.0450408	0.0728948	-0.00101208	-0.0715552	0.063006	-0.0295457	-0.00835848	0.0977842	CER
TS-96	157	-0.100427	0.312344	0.0893492	0.16937	0.240404	0.130486	-0.0366604	0.11248	-0.113323	-0.0058286	CER
TS-97	158	-0.0421829	-0.0309432	-0.0453705	-0.0617703	0.0199282	0.00809747	0.0653555	0.0334478	0.0469684	0.0915887	CER
TS-98	159	0.0616899	-0.0330434	0.0181475	0.0174509	-0.0407774	-0.0890714	-0.234832	0.151431	-0.0134655	0.0163039	CER
TS-99	160	0.0895867	0.00956138	-0.0328752	0.0540779	-0.0538866	-0.0214897	0.0339213	0.000732703	-0.0396309	-0.00144051	CER
TS-105	167	0.00458832	0.0844169	-0.0452612	-0.0885257	0.0883577	0.173919	-0.0337407	-0.0160985	0.157978	-0.096126	CER
TS-106	168	0.0522868	0.0433618	-0.0975722	-0.177999	0.11403	0.157352	-0.0457089	-0.105862	0.181316	-0.108096	CER
TS-107	169	0.0440141	0.0535644	-0.157878	-0.195236	0.0337611	0.0564104	-0.0593106	0.0357488	-0.063289	0.0457087	CER
TS-109	171	0.0510238	-0.0128982	-0.0686255	0.044514	-0.00193281	-0.0942869	0.0536235	0.0405829	0.040907	-0.0193447	CER
TS-116	178	-0.0646113	-0.0811264	-0.0201726	0.0213708	0.0272551	0.00505327	-0.016085	0.0166097	-0.0290962	-0.0271056	CER
TS-118	180	0.031146	0.029188	-0.0885212	-0.0562739	-0.0104721	-0.0541648	0.0164806	0.073514	-0.00405495	0.0781622	CER
TS-119	181	0.0535534	-0.0124699	-0.00445827	0.0286209	0.00686459	-0.0186914	-0.0576872	0.040964	0.0747278	-0.0277964	CER
TS-120	182	0.106527	0.00363543	0.0360571	0.0578544	-0.219225	0.133781	0.0298151	-0.0132126	-0.198117	0.0601012	CER
TS-123	185	-0.0874237	-0.0914837	0.00311349	0.0121586	0.017284	0.0262727	-0.00543454	0.00606283	-0.00433319	-0.0184568	PIM
TS-124	186	-0.0196963	0.0603267	-0.0106041	0.048671	-0.0106937	-0.0511593	0.0435577	0.0525053	0.0475414	-0.0375594	PIM
TS-129	191	0.0605679	0.0152163	-0.0911769	-0.0310239	0.0572709	-0.0304515	-0.0351148	-0.123589	-0.0552572	-0.085067	CER
TS-131	193	0.0956504	0.0080914	0.0406719	-0.061414	0.111144	-0.0979023	0.120368	-0.103031	-0.0333151	-0.0945764	CER
TS-134	196	-0.0912713	0.00536833	-0.0585146	-0.187174	0.0132916	0.104618	0.0197091	0.0646428	-0.0499254	0.153641	CER
TS-138	200	0.0514205	-0.0113086	-0.0945814	0.00848075	0.0676295	-0.0957737	0.066353	-0.0442365	0.107701	-0.0983147	CER
TS-144	206	-0.104164	-0.0173985	-0.00356266	-0.0661889	-0.0351573	0.0180339	0.0241215	0.0731393	0.0290749	0.0236321	PIM
TS-145	207	-0.152296	0.188627	0.0876428	-0.0388597	-0.238233	-0.190566	-0.00239374	-0.091765	0.0935527	-0.0318191	PIM
TS-148	210	-0.066001	0.247567	0.0570518	0.149664	0.188154	0.148299	-0.00158917	0.0411174	-0.0546545	0.0134794	CER
TS-149	211	-0.0604713	0.241541	0.0686104	0.128211	0.128502	0.178313	0.0616261	-0.00688589	0.0806167	-0.0472127	CER
TS-154	216	0.0950228	-0.018456	0.231398	-0.108632	0.132235	-0.0274778	-0.0303529	-0.00644895	0.0444612	0.00922665	CER
TS-156	218	-0.104357	-0.0324505	0.0307792	0.0208924	-0.0352482	-0.0182249	-0.0334656	-0.0764373	0.0263225	-0.0615571	PIM
TS-158	220	0.00166783	0.0936817	0.0156998	-0.0117302	-0.0781412	-0.00646138	0.0691322	0.311054	0.144825	-0.223627	CER
TS-164	226	-0.0974011	-0.097264	0.0085737	0.00631151	-0.00590376	0.0285653	-0.00636109	0.0130766	0.0265326	-0.0193425	PIM
TS-165	227	0.0947909	-0.0290823	0.188242	-0.0937818	0.0237579	-0.0637617	0.242612	-0.0188692	-0.192391	-0.0779314	CER
TS-181	243	0.092106	-0.0449311	0.27427	-0.139459	0.0804231	-0.076208	0.0655392	0.0192874	-0.0804104	-0.0109594	CER
TS-182	244	-0.134366	0.112909	0.0851873	0.0329995	-0.116078	-0.105169	-0.0925374	-0.252561	0.014774	-0.122324	PIM
TS-187	249	0.0530452	-0.00803392	-0.0760627	0.090281	0.0249785	-0.100952	0.0741674	0.00350267	-0.00889261	0.0704954	CER
TS-189	251	0.0747977	0.0124092	-0.065949	0.0156473	0.0421991	-0.0460012	0.0177554	-0.0689006	0.049823	-0.0740263	CER
TS-202	264	0.0773827	-0.0134984	0.0447852	0.00105771	0.0163938	-0.0501747	-0.198086	0.0656371	-0.0209106	0.0421031	CER
TS-205	267	0.0371448	-0.00815571	-0.0450551	0.0224027	0.0447726	-0.00183901	-0.082518	-0.0230918	-0.0785899	-0.0729134	CER
TS-209	271	0.0271835	-0.0306047	-0.075118	0.0789686	0.0231466	-0.111746	0.0888867	0.0632084	0.0427209	0.0022585	CER
TS-213	275	0.0863026	0.0198072	-0.0658033	0.0513197	-0.00815058	0.0115758	0.0271806	-0.0249926	0.108416	-0.0147011	CER
TS-216	278	-0.0248344	-0.0404246	-0.0309413	0.081166	0.023724	-0.0104938	0.0643422	0.00899735	-0.00150423	0.0844773	CER
TS-219	281	0.0973367	-0.00717473	0.134098	-0.0548538	-0.0281595	0.127676	-0.14297	0.00872333	0.131698	0.0048249	CER
TS-221	283	0.0850028	-0.00416809	0.0561114	-0.0211411	-0.0826979	0.0540656	-0.271966	0.0811092	-0.122285	-0.0147758	CER
TS-222	284	0.0877863	-0.041164	0.258282	-0.144592	0.121157	-0.0919685	0.0368472	0.0291973	-0.0101536	-0.0195656	PIM
TS-223	285	-0.0250386	0.113024	-0.0169405	0.0513482	0.000603157	-0.0748252	0.0862745	0.232687	0.0620668	-0.0532634	CER
TS-227	289	0.0371592	-0.0249357	-0.0847016	0.0557129	-0.00384354	-0.131439	0.0891142	0.0567622	0.0169909	-0.0035271	CER
TS-229	291	0.0986514	-0.00543947	0.0811009	-0.0332689	-0.0369813	0.0258357	-0.198924	0.0569989	-0.0386661	-0.0216932	CER
TS-230	292	0.0906328	0.0073129	-0.0188586	0.0819826	-0.208941	0.114085	0.0790201	0.0253712	-0.138124	-0.0871887	CER
TS-231	293	0.0271595	-0.00618588	-0.0725806	0.0124852	0.0369678	-0.0867132	0.0683512	-0.0832139	0.0482953	-0.0628963	CER
TS-233	295	0.0980985	-0.0342249	0.228779	-0.117526	0.0415324	-0.0842144	0.291513	-0.0157315	-0.218874	-0.0874888	CER
TS-238	300	0.02594	0.0621403	-0.184492	-0.253199	-0.0156079	-0.0320077	0.0227584	0.0511311	-0.0379575	-0.166833	CER
TS-240	302	0.0361752	-0.0186232	0.0684204	0.00517174	-0.0821989	0.193332	0.117441	-0.0952147	0.0267286	-0.103808	CER
TS-243	305	0.0806197	-0.000850001	-0.0034945	0.0357296	-0.0776254	-0.0123132	-0.117659	0.0849393	-9.35415e-05	-0.0750947	CER
TS-244	306	-0.100714	-0.0858048	0.00517886	-0.0113032	-0.0261556	0.0136775	0.0126476	0.04982	0.043931	-0.0162105	PIM
TS-247	309	0.0428099	0.0174433	-0.0272024	0.0692018	0.0787415	0.0140649	0.000355135	-0.0268043	-0.00377634	0.0180518	CER
TS-248	310	-0.0159621	0.0254229	-0.027986	0.0436205	-0.0404022	-0.100487	-0.0476698	-0.112003	0.0160676	-0.0795203	CER
TS-250	312	0.0997906	-0.0072386	0.0834168	0.0371453	-0.252234	0.171035	-0.0871324	0.0795687	-0.187974	-0.100575	CER
TS-252	314	0.0814156	0.0112043	-0.0655063	0.0607805	0.00288069	-0.0710422	4.13935e-05	0.00327862	0.0152513	-0.00206845	CER
TS-254	316	0.067861	-0.016575	0.0170061	0.0456486	-0.0503734	0.000260005	0.116667	-0.0339424	-0.0765543	0.158546	CER
TS-257	319	0.0895949	-0.00651122	0.0707912	0.0126916	-0.0427121	0.0241895	0.0511508	-0.00776451	0.0258785	0.0988861	CER
TS-258	320	0.0340777	-0.00103706	-0.053268	0.0421746	0.0462543	-0.00115475	-0.00651197	-0.0555599	-0.0923498	-0.0200669	CER
TS-260	322	0.0377996	-0.0251779	-0.0776981	0.0580206	0.00340933	-0.0984331	0.0727467	0.0727225	0.0276224	-0.0222558	CER
TS-262	324	0.0120422	-0.0104952	-0.021447	0.00997515	0.0402325	0.0168709	0.0304423	-0.108288	0.0902446	0.00938243	CER
TS-265	327	-0.0973631	-0.0768609	0.0150176	0.00989338	-0.0147391	0.0143784	-0.0125896	-0.00587766	0.0252167	-0.040174	PIM
TS-266	328	-0.0991797	-0.0785644	0.0146624	0.00558225	-0.0297535	-0.00162705	-0.0184685	-0.0356246	0.0200358	-0.0328026	PIM
TS-267	329	-0.0986776	-0.0437888	0.0146526	-0.0094667	-0.0151508	0.016697	-0.0216272	-0.0330191	-0.0114297	0.00320453	PIM
TS-271	333	0.0806989	0.00925149	-0.0623357	0.0601109	-0.000836933	-0.0669797	0.00552371	0.00584327	0.016384	-0.00883105	CER
TS-273	335	0.0243524	0.0714189	-0.0256043	0.058483	0.0860993	-0.0197922	-0.0355653	-0.0949257	-0.082231	0.000266699	CER
TS-280	341	0.101536	0.00680732	0.06286	0.0342058	-0.121724	0.136531	0.0207052	-0.0503074	0.0546694	0.173183	CER
TS-281	342	0.10279	0.0130973	0.0258955	0.049765	-0.176344	0.194407	0.091423	-0.0288114	0.000251831	0.00543915	CER
TS-283	344	0.0824228	0.0117962	-0.0682298	0.0702671	0.001236	-0.0839639	-0.00161002	0.00684735	0.0217104	0.00624753	CER
TS-284	345	0.0841227	-0.00991153	0.024337	0.00855906	-0.0321146	-0.0609705	-0.251909	0.0975207	-0.0100747	0.0369283	CER
TS-286	347	0.0884511	-0.00267049	0.0495766	0.0126944	-0.0082763	-0.034847	-0.0300186	-0.0482098	0.0484093	0.213635	CER
TS-287	348	0.0446852	-0.00974657	-0.0685509	0.0466515	0.0383324	-0.0605873	0.051631	-0.029685	0.0406064	-0.040513	CER
TS-289	350	0.0187881	0.0791778	-0.208341	-0.305779	-0.0275243	-0.0268989	0.0338774	0.0651796	-0.0413577	-0.157903	CER
TS-290	351	0.0870009	0.00923605	-0.0483164	0.0583679	-0.0763749	-0.0101997	-0.0116484	0.0204271	-0.0800252	-0.0561627	CER
TS-291	352	-0.0919457	-0.0995512	0.00561358	0.0122218	0.0141914	0.0383664	-0.00775433	0.018473	0.0125072	-0.0165775	PIM
TS-294	355	0.0872427	0.0100708	-0.0571769	0.0583567	-0.0600806	-0.0123692	0.033821	-0.00875816	-0.0691509	-0.0461251	CER
TS-295	356	0.00010072	0.0565155	-0.0733016	-0.118786	0.00358686	-0.0265058	0.0451908	-0.00239743	0.0498427	0.0148871	CER
TS-298	359	0.0556301	0.0499408	-0.139218	-0.188653	0.0322178	0.121327	-0.0743185	-0.114572	-0.173274	-0.0119999	CER
TS-299	360	0.027858	0.0696381	-0.147056	-0.172506	0.037582	0.0424029	0.0143918	0.0222362	-0.137241	0.131877	CER
