pi	EigenGWAS
Solyc01g010420	Solyc01g028890
Solyc01g010430	Solyc01g034060
Solyc01g010440	Solyc01g034070
Solyc01g010450	Solyc01g034080
Solyc01g010460	Solyc01g034140
Solyc01g010470	Solyc01g034150
Solyc01g010480	Solyc01g044420
Solyc01g010490	Solyc01g044430
Solyc01g010500	Solyc01g044440
Solyc01g010510	Solyc01g044550
Solyc01g010520	Solyc01g044560
Solyc01g010530	Solyc01g045570
Solyc01g010540	Solyc01g045580
Solyc01g010550	Solyc01g047580
Solyc01g010570	Solyc01g047590
Solyc01g010580	Solyc01g048590
Solyc01g010590	Solyc01g048600
Solyc01g010600	Solyc01g048610
Solyc01g010610	Solyc01g049900
Solyc01g010630	Solyc01g049910
Solyc01g010640	Solyc01g049920
Solyc01g010650	Solyc01g049950
Solyc01g010660	Solyc01g049960
Solyc01g010670	Solyc01g049970
Solyc01g010680	Solyc01g049980
Solyc01g010690	Solyc01g049990
Solyc01g010700	Solyc01g050000
Solyc01g010710	Solyc01g050010
Solyc01g010720	Solyc01g056230
Solyc01g010730	Solyc01g056240
Solyc01g010740	Solyc01g056250
Solyc01g010750	Solyc01g056260
Solyc01g010760	Solyc01g056270
Solyc01g010770	Solyc01g056280
Solyc01g010780	Solyc01g056310
Solyc01g010790	Solyc01g056350
Solyc01g010800	Solyc01g056360
Solyc01g010810	Solyc01g056480
Solyc01g010820	Solyc01g056580
Solyc01g010830	Solyc01g056590
Solyc01g010840	Solyc01g056600
Solyc01g010850	Solyc01g056610
Solyc01g010860	Solyc01g056620
Solyc01g010870	Solyc01g056780
Solyc01g010880	Solyc01g056790
Solyc01g010890	Solyc01g056800
Solyc01g010900	Solyc01g056970
Solyc01g014950	Solyc01g056980
Solyc01g014960	Solyc01g056990
Solyc01g058450	Solyc01g057000
Solyc01g058460	Solyc01g057010
Solyc01g058490	Solyc01g057020
Solyc01g058500	Solyc01g057030
Solyc01g058510	Solyc01g057040
Solyc01g058520	Solyc01g057400
Solyc01g058530	Solyc01g057410
Solyc01g058540	Solyc01g057420
Solyc01g058550	Solyc01g057430
Solyc01g058560	Solyc01g057440
Solyc01g058570	Solyc01g057920
Solyc01g058580	Solyc01g058160
Solyc01g058590	Solyc01g058170
