pi	EigenGWAS
Solyc01g106310	Solyc02g093050
Solyc01g106320	Solyc02g093060
Solyc01g106330	Solyc02g093070
Solyc01g106340	Solyc02g093080
Solyc01g106350	Solyc02g093090
Solyc01g106360	Solyc02g093100
Solyc01g106370	Solyc02g093110
Solyc01g106380	Solyc02g093120
Solyc01g106390	Solyc02g093130
Solyc01g106400	Solyc02g093140
Solyc01g106410	Solyc02g093150
Solyc01g106420	Solyc03g020060
Solyc01g106430	Solyc03g020070
Solyc01g106440	Solyc03g020080
Solyc01g107090	Solyc03g020090
Solyc01g107100	Solyc03g020100
Solyc01g107110	Solyc03g025100
Solyc01g107120	Solyc03g025110
Solyc01g107130	Solyc03g025120
Solyc01g107140	Solyc03g025130
Solyc01g107150	Solyc03g025140
Solyc01g107160	Solyc03g025150
Solyc01g107170	Solyc03g025160
Solyc01g107180	Solyc03g025170
Solyc01g107190	Solyc03g025180
Solyc01g107200	Solyc03g031410
Solyc01g107210	Solyc03g031420
Solyc01g107220	Solyc03g031430
Solyc01g107230	Solyc03g031440
Solyc01g107240	Solyc03g031450
Solyc01g107250	Solyc03g031460
Solyc01g107260	Solyc03g031470
Solyc01g107270	Solyc03g031480
Solyc01g107280	Solyc03g031490
Solyc01g107290	Solyc03g031500
Solyc01g107300	Solyc03g031510
Solyc01g107310	Solyc03g031520
Solyc01g107320	Solyc03g031530
Solyc01g107330	Solyc03g031540
Solyc01g107340	Solyc03g031550
Solyc01g107350	Solyc03g031560
Solyc01g107360	Solyc03g031570
Solyc01g107370	Solyc03g031580
Solyc01g107380	Solyc03g031590
Solyc01g107390	Solyc03g031600
Solyc01g107400	Solyc03g033910
Solyc01g107410	Solyc03g033920
Solyc01g107420	Solyc03g033930
Solyc01g107430	Solyc03g033940
Solyc01g107440	Solyc03g034320
Solyc01g107450	Solyc03g034330
Solyc01g107460	Solyc03g034340
Solyc01g107470	Solyc03g034360
Solyc01g107490	Solyc03g034370
Solyc01g107510	Solyc03g034380
Solyc01g107500	Solyc03g034390
Solyc01g107520	Solyc03g065120
Solyc01g107530	Solyc03g065130
Solyc01g107540	Solyc03g065140
Solyc01g107550	Solyc03g065150
Solyc01g107560	Solyc03g065160
Solyc01g107570	Solyc03g065170
Solyc01g107580	Solyc03g071770
Solyc01g107590	Solyc03g071780
Solyc01g107600	Solyc03g071790
Solyc01g107610	Solyc03g071800
Solyc01g107620	Solyc03g071810
Solyc01g107630	Solyc03g071820
Solyc01g107640	Solyc03g081320
Solyc01g107650	Solyc03g081330
Solyc01g107660	Solyc03g081340
Solyc01g107670	Solyc03g082340
Solyc01g107690	Solyc03g082350
Solyc01g107680	Solyc03g082360
Solyc01g107700	Solyc03g082370
Solyc01g107710	Solyc03g082380
Solyc01g107720	Solyc03g082390
Solyc01g107730	Solyc03g082400
Solyc01g107740	Solyc03g082410
Solyc01g107750	Solyc03g082420
Solyc01g107760	Solyc03g082430
Solyc01g107770	Solyc03g082440
Solyc01g107780	Solyc03g083400
Solyc01g107790	Solyc03g083410
Solyc01g107800	Solyc03g083420
Solyc01g107810	Solyc03g083430
Solyc01g107820	Solyc03g083440
Solyc01g107830	Solyc03g083450
Solyc01g107840	Solyc03g083460
Solyc01g107850	Solyc03g083470
Solyc01g107860	Solyc03g083480
Solyc01g107870	Solyc03g083490
Solyc01g107880	Solyc03g083500
Solyc01g107890	Solyc03g083510
Solyc01g107900	Solyc03g083520
Solyc01g107910	Solyc03g083530
Solyc01g107920	Solyc03g083540
Solyc01g107930	Solyc03g083550
Solyc01g107940	Solyc03g083560
Solyc01g107950	Solyc03g083570
Solyc01g107960	Solyc03g083580
Solyc01g107970	Solyc03g083880
Solyc01g107980	Solyc03g083890
Solyc01g107990	Solyc03g083900
Solyc01g108000	Solyc03g083910
Solyc01g109370	Solyc03g083920
Solyc01g109380	Solyc03g083930
Solyc01g109390	Solyc03g083940
Solyc01g109400	Solyc03g083950
Solyc01g109410	Solyc03g083960
Solyc01g109420	Solyc03g083970
Solyc01g109430	Solyc03g083980
Solyc01g109440	Solyc03g083990
Solyc01g109450	Solyc03g090990
Solyc01g109460	Solyc03g091000
Solyc01g109470	Solyc03g091010
Solyc01g109480	Solyc03g091020
Solyc01g109490	Solyc03g091030
Solyc01g109500	Solyc03g091040
Solyc01g109510	Solyc03g093040
Solyc01g109520	Solyc03g093050
Solyc01g109530	Solyc03g093060
Solyc01g109540	Solyc03g093070
Solyc01g109550	Solyc03g093080
Solyc01g112320	Solyc03g093090
Solyc01g112330	Solyc03g093100
Solyc01g112340	Solyc03g093110
Solyc01g112350	Solyc03g093120
Solyc01g112360	Solyc03g093130
Solyc01g112370	Solyc03g093140
Solyc01g112380	Solyc03g093150
Solyc01g112400	Solyc03g093160
Solyc01g113430	Solyc03g093170
Solyc01g113450	Solyc03g093180
Solyc01g113460	Solyc03g093190
Solyc01g113470	Solyc03g093200
Solyc01g113480	Solyc03g093210
Solyc02g036200	Solyc03g093220
Solyc02g036210	Solyc03g093230
Solyc02g065110	Solyc03g093240
Solyc02g065120	Solyc03g093250
Solyc02g065130	Solyc03g093260
Solyc02g065140	Solyc03g093270
Solyc02g065150	Solyc03g093280
Solyc02g065160	Solyc03g093290
Solyc02g065170	Solyc03g093300
Solyc02g065180	Solyc03g093310
Solyc02g065190	Solyc03g093320
Solyc02g065210	Solyc03g093330
Solyc02g065220	Solyc03g093340
Solyc02g065230	Solyc03g093350
Solyc02g065240	Solyc03g093360
Solyc02g065250	Solyc03g093370
Solyc02g065260	Solyc03g093380
Solyc02g065270	Solyc03g093390
Solyc02g065280	Solyc03g093400
Solyc02g065290	Solyc03g093410
Solyc02g068740	Solyc03g093420
Solyc02g068750	Solyc03g093430
Solyc02g068760	Solyc03g093440
Solyc02g068770	Solyc03g093450
Solyc02g068780	Solyc03g093460
Solyc02g068790	Solyc03g093470
Solyc02g068800	Solyc03g093480
Solyc02g068810	Solyc03g093490
Solyc02g068820	Solyc03g093500
Solyc02g068830	Solyc03g093510
Solyc02g068840	Solyc03g093520
Solyc02g068850	Solyc03g093530
Solyc02g068860	Solyc03g093540
Solyc02g068870	Solyc03g093550
Solyc02g068880	Solyc03g093560
Solyc02g068890	Solyc03g093580
Solyc02g068900	Solyc03g093590
Solyc02g068910	Solyc03g093600
Solyc02g068920	Solyc03g093610
Solyc03g005740	Solyc03g093620
Solyc03g005750	Solyc03g093630
Solyc03g005760	Solyc03g093640
Solyc03g005770	Solyc03g093650
Solyc03g005780	Solyc03g093660
Solyc03g005790	Solyc03g093670
Solyc03g005800	Solyc03g093680
Solyc03g005810	Solyc03g093690
Solyc03g005820	Solyc03g093700
Solyc03g005830	Solyc03g093710
Solyc03g005840	Solyc03g093720
Solyc03g005850	Solyc03g093730
Solyc03g005860	Solyc03g093740
Solyc03g005870	Solyc03g093750
Solyc03g005880	Solyc03g093760
Solyc03g005890	Solyc03g093770
Solyc03g005900	Solyc03g093780
Solyc03g005910	Solyc03g093790
Solyc03g005920	Solyc03g093800
Solyc03g005930	Solyc03g093810
Solyc03g005940	Solyc03g093820
Solyc03g005950	Solyc03g093830
Solyc03g005960	Solyc03g093840
Solyc03g005970	Solyc03g093850
Solyc03g005980	Solyc03g093860
Solyc03g005990	Solyc03g093870
Solyc03g006000	Solyc03g093880
Solyc03g007100	Solyc03g093890
Solyc03g007110	Solyc03g093900
Solyc03g007120	Solyc03g093920
Solyc03g007130	Solyc03g093930
Solyc03g007140	Solyc03g093940
Solyc03g007150	Solyc03g095200
Solyc03g007160	Solyc03g095210
Solyc03g007170	Solyc03g095220
Solyc03g007180	Solyc03g095230
Solyc03g007190	Solyc03g095240
Solyc03g020040	Solyc03g095250
Solyc03g020050	Solyc03g095260
Solyc03g020060	Solyc03g095270
Solyc03g020070	Solyc03g095410
Solyc03g020080	Solyc03g095420
Solyc03g020090	Solyc03g095430
Solyc03g020100	Solyc03g095440
Solyc03g025100	Solyc03g095450
Solyc03g025110	Solyc03g095460
Solyc03g025120	Solyc03g095470
Solyc03g025130	Solyc03g095480
Solyc03g025140	Solyc03g095490
Solyc03g025150	Solyc03g095500
Solyc03g025160	Solyc03g095510
Solyc03g025170	Solyc03g095520
Solyc03g025180	Solyc03g095530
Solyc03g025930	Solyc03g095540
Solyc03g025940	Solyc03g095550
Solyc03g025950	Solyc03g095560
Solyc03g025960	Solyc03g095580
Solyc03g025970	Solyc03g095590
Solyc03g025980	Solyc03g095600
Solyc03g025990	Solyc03g095610
Solyc03g026000	Solyc03g095620
Solyc03g026010	Solyc03g095630
Solyc03g026020	Solyc03g095640
Solyc03g026030	Solyc03g095650
Solyc03g026040	Solyc03g095660
Solyc03g026050	Solyc03g095670
Solyc03g026060	Solyc03g095680
Solyc03g026070	Solyc03g095690
Solyc03g026080	Solyc03g095700
Solyc03g026090	Solyc03g095710
Solyc03g026100	Solyc03g095720
Solyc03g026110	Solyc03g095730
Solyc03g026120	Solyc03g095750
Solyc03g026400	Solyc03g095760
Solyc03g026410	Solyc03g095770
Solyc03g031410	Solyc03g095780
Solyc03g031420	Solyc03g095790
Solyc03g031430	Solyc03g095800
Solyc03g031440	Solyc03g095810
Solyc03g031450	Solyc03g095820
Solyc03g031460	Solyc03g095830
Solyc03g031470	Solyc03g095840
Solyc03g031480	Solyc03g095850
Solyc03g031490	Solyc03g095860
Solyc03g031500	Solyc03g095870
Solyc03g031510	Solyc03g095880
Solyc03g031520	Solyc03g095890
Solyc03g031530	Solyc03g095900
Solyc03g031540	Solyc03g095910
Solyc03g031550	Solyc03g095920
Solyc03g031560	Solyc03g095930
Solyc03g031570	Solyc03g095940
Solyc03g031580	Solyc03g095950
Solyc03g031590	Solyc03g095960
Solyc03g031600	Solyc03g095970
Solyc03g031610	Solyc03g095980
Solyc03g031620	Solyc03g095990
Solyc03g031630	Solyc03g096000
Solyc03g031640	Solyc03g096010
Solyc03g031650	Solyc03g096020
Solyc03g031660	Solyc03g096030
Solyc03g031670	Solyc03g096040
Solyc03g031680	Solyc03g096050
Solyc03g031690	Solyc03g096060
Solyc03g031700	Solyc03g096070
Solyc03g031710	Solyc03g096080
Solyc03g031720	Solyc03g096090
Solyc03g031730	Solyc03g096100
Solyc03g031740	Solyc03g096110
Solyc03g031750	Solyc03g096120
Solyc03g031760	Solyc03g096130
Solyc03g034320	Solyc03g096140
Solyc03g034330	Solyc03g096150
Solyc03g034340	Solyc03g096160
Solyc03g034360	Solyc03g096170
Solyc03g034370	Solyc03g096180
Solyc03g034380	Solyc03g096190
Solyc03g034390	Solyc03g096200
Solyc03g034400	Solyc03g096210
Solyc03g034410	Solyc03g096220
Solyc03g034420	Solyc03g096230
Solyc03g034430	Solyc03g096240
Solyc03g034440	Solyc03g096250
Solyc03g082690	Solyc03g096260
Solyc03g082700	Solyc03g096270
Solyc03g082710	Solyc03g096280
Solyc03g082720	Solyc03g096290
Solyc03g082730	Solyc03g096300
Solyc03g082740	Solyc03g096320
Solyc03g082750	Solyc03g096330
Solyc03g082760	Solyc03g096340
Solyc03g082770	Solyc03g096520
Solyc03g082780	Solyc03g096530
Solyc03g082790	Solyc03g096540
Solyc03g082800	Solyc03g096550
Solyc03g082810	Solyc03g096560
Solyc03g082820	Solyc03g096570
Solyc03g082830	Solyc03g096580
Solyc03g082840	Solyc03g096600
Solyc03g082850	Solyc03g096610
Solyc03g082860	Solyc03g096620
Solyc03g082870	Solyc03g096630
Solyc03g082880	Solyc03g096640
Solyc03g082890	Solyc03g096650
Solyc03g082900	Solyc03g096660
Solyc03g082910	Solyc03g096670
Solyc03g082920	Solyc03g096680
Solyc03g082930	Solyc03g096690
Solyc03g082940	Solyc03g096700
Solyc03g082950	Solyc03g096710
Solyc03g082960	Solyc03g096720
Solyc03g082970	Solyc03g096730
Solyc03g083880	Solyc03g096740
Solyc03g083890	Solyc03g096750
Solyc03g083900	Solyc03g096760
Solyc03g083910	Solyc03g096770
Solyc03g083920	Solyc03g096780
Solyc03g083930	Solyc03g096790
Solyc03g083940	Solyc03g096800
Solyc03g083950	Solyc03g096810
Solyc03g083960	Solyc03g096820
Solyc03g083970	Solyc03g096830
Solyc03g083980	Solyc03g096840
Solyc03g083990	Solyc03g096850
Solyc03g090990	Solyc03g096860
Solyc03g091000	Solyc03g096870
Solyc03g091010	Solyc03g096880
Solyc03g091020	Solyc03g096890
Solyc03g091030	Solyc03g096900
Solyc03g091040	Solyc03g096910
Solyc03g093040	Solyc03g096920
Solyc03g093050	Solyc03g096930
Solyc03g093060	Solyc03g096940
Solyc03g093070	Solyc03g096950
Solyc03g093080	Solyc03g096960
Solyc03g093090	Solyc03g096980
Solyc03g093100	Solyc03g097560
Solyc03g093110	Solyc03g097570
Solyc03g093120	Solyc03g097580
Solyc03g093130	Solyc03g097590
Solyc03g093140	Solyc03g097600
Solyc03g093150	Solyc03g097610
Solyc03g093160	Solyc03g097620
Solyc03g093170	Solyc03g097630
Solyc03g093180	Solyc03g097640
Solyc03g093190	Solyc03g097650
Solyc03g093200	Solyc03g097660
Solyc03g093210	Solyc03g097670
Solyc03g093220	Solyc03g104840
Solyc03g093230	Solyc03g110840
Solyc03g093240	Solyc03g110850
Solyc03g093250	Solyc03g110860
Solyc03g093260	Solyc03g110870
Solyc03g093270	Solyc03g110880
Solyc03g093280	Solyc03g110890
Solyc03g093290	Solyc03g110900
Solyc03g093300	Solyc03g110910
Solyc03g093310	Solyc03g110920
Solyc03g093650	Solyc03g110930
Solyc03g093660	Solyc03g110940
Solyc03g093670	Solyc03g110950
Solyc03g093680	Solyc03g114520
Solyc03g093690	Solyc03g114530
Solyc03g093700	Solyc03g114540
Solyc03g093710	Solyc03g114550
Solyc03g093720	Solyc03g114560
Solyc03g093730	Solyc03g114570
Solyc03g093740	Solyc03g114580
Solyc03g093750	Solyc03g114590
Solyc03g093760	Solyc03g114600
Solyc03g093770	Solyc03g114610
Solyc03g093780	Solyc03g114620
Solyc03g093790	Solyc03g114630
Solyc03g094110	Solyc03g114640
Solyc03g094120	Solyc03g114650
Solyc03g094130	Solyc03g114660
Solyc03g094140	Solyc03g114670
Solyc03g094150	Solyc03g114680
Solyc03g095220	Solyc03g114690
Solyc03g095230	Solyc03g121410
Solyc03g095240	Solyc03g121420
Solyc03g095250	Solyc03g121430
Solyc03g095260	Solyc03g121440
Solyc03g095270	Solyc03g121450
Solyc03g095290	Solyc03g121460
Solyc03g095300	Solyc03g121470
Solyc03g095310	Solyc03g121480
Solyc03g095320	Solyc03g121490
Solyc03g095330	Solyc03g121500
Solyc03g095340	Solyc03g121510
Solyc03g095350	Solyc03g121520
Solyc03g095360	Solyc03g121530
Solyc03g095370	Solyc03g121540
Solyc03g095380	Solyc03g121550
Solyc03g095390	Solyc03g121560
Solyc03g095400	Solyc03g121570
Solyc03g095410	Solyc03g121580
Solyc03g095420	Solyc03g121590
Solyc03g095430	Solyc03g121600
Solyc03g095440	Solyc03g121610
Solyc03g095450	Solyc03g121620
Solyc03g095460	Solyc03g121630
Solyc03g095470	Solyc03g121640
Solyc03g095480	Solyc03g121650
Solyc03g095490	Solyc03g121660
Solyc03g095500	Solyc03g121670
Solyc03g095510	Solyc03g121680
Solyc03g095520	Solyc03g121690
Solyc03g095530	Solyc03g121700
Solyc03g095540	Solyc03g121710
Solyc03g095550	Solyc03g121720
Solyc03g095560	Solyc03g121730
Solyc03g095580	Solyc03g121740
Solyc03g095590	Solyc03g121750
Solyc03g095600	Solyc03g121760
Solyc03g095610	Solyc03g121770
Solyc03g095620	Solyc03g121780
Solyc03g095630	Solyc03g121790
Solyc03g095640	Solyc03g121800
Solyc03g095650	Solyc03g121810
Solyc03g095660	Solyc03g121820
Solyc03g095670	Solyc03g121830
Solyc03g095680	Solyc03g121840
Solyc03g095690	Solyc03g121850
Solyc03g095700	Solyc03g121860
Solyc03g095710	Solyc03g121870
Solyc03g095720	Solyc03g121880
Solyc03g095730	Solyc03g121890
Solyc03g095750	Solyc03g121900
Solyc03g095760	Solyc03g121910
Solyc03g095770	Solyc03g121920
Solyc03g095780	Solyc03g121930
Solyc03g095790	Solyc03g121940
Solyc03g095800	Solyc03g121950
Solyc03g095810	Solyc03g121960
Solyc03g095820	Solyc03g121970
Solyc03g095830	Solyc03g121980
Solyc03g095840	Solyc03g123430
Solyc03g095850	Solyc03g123440
Solyc03g095860	Solyc03g123450
Solyc03g095870	Solyc03g123460
Solyc03g095880	Solyc03g123470
Solyc03g095890	Solyc03g123480
Solyc03g095900	Solyc03g123490
Solyc03g095910	Solyc03g123500
Solyc03g095920	Solyc03g123510
Solyc03g095930	Solyc03g123520
Solyc03g095940	Solyc03g123530
Solyc03g095950	Solyc03g123540
Solyc03g095960	Solyc03g123550
Solyc03g095970	Solyc03g123560
Solyc03g095980	Solyc03g123990
Solyc03g095990	Solyc03g124000
Solyc03g096100	Solyc03g124010
Solyc03g096110	Solyc03g124020
Solyc03g096120	Solyc03g124030
Solyc03g096130	Solyc03g124040
Solyc03g096140	Solyc03g124050
Solyc03g096150	Solyc03g124060
Solyc03g096160	Solyc04g008050
Solyc03g096170	Solyc04g008060
Solyc03g096500	Solyc04g008070
Solyc03g096520	Solyc04g008080
Solyc03g096530	Solyc04g008090
Solyc03g096540	Solyc04g008100
Solyc03g096550	Solyc04g008110
Solyc03g096560	Solyc04g008120
Solyc03g096570	Solyc04g008130
Solyc03g096580	Solyc04g008140
Solyc03g096600	Solyc04g008150
Solyc03g096610	Solyc04g008160
Solyc03g096620	Solyc04g008170
Solyc03g096630	Solyc04g008840
Solyc03g096640	Solyc04g008850
Solyc03g096650	Solyc04g008860
Solyc03g096660	Solyc04g008870
Solyc03g096890	Solyc04g008880
Solyc03g096900	Solyc04g008890
Solyc03g096910	Solyc04g008900
Solyc03g096920	Solyc04g008910
Solyc03g096930	Solyc04g008920
Solyc03g096940	Solyc04g008930
Solyc03g096950	Solyc04g016580
Solyc03g096960	Solyc04g016590
Solyc03g096980	Solyc04g017590
Solyc03g096990	Solyc04g017600
Solyc03g097000	Solyc04g017610
Solyc03g097010	Solyc04g025970
Solyc03g097020	Solyc04g025990
Solyc03g097030	Solyc04g026000
Solyc03g097040	Solyc04g026010
Solyc03g097050	Solyc04g054940
Solyc03g097060	Solyc04g054950
Solyc03g097070	Solyc04g054960
Solyc03g097080	Solyc04g054970
Solyc03g097350	Solyc04g054980
Solyc03g097360	Solyc04g054990
Solyc03g097370	Solyc04g055000
Solyc03g097380	Solyc04g055010
Solyc03g097390	Solyc04g055020
Solyc03g097400	Solyc04g055030
Solyc03g097410	Solyc04g077240
Solyc03g097420	Solyc04g077250
Solyc03g097430	Solyc04g077260
Solyc03g097440	Solyc04g077270
Solyc03g097450	Solyc04g077280
Solyc03g097460	Solyc04g077290
Solyc03g097470	Solyc04g077300
Solyc03g097480	Solyc04g077310
Solyc03g097490	Solyc04g077320
Solyc03g097500	Solyc04g077980
Solyc03g097510	Solyc04g077990
Solyc03g097940	Solyc04g078000
Solyc03g097930	Solyc04g078010
Solyc03g097950	Solyc04g078020
Solyc03g097960	Solyc04g078030
Solyc03g097970	Solyc04g078040
Solyc03g097980	Solyc04g078050
Solyc03g097990	Solyc04g078060
Solyc03g098000	Solyc04g078070
Solyc03g098010	Solyc04g078080
Solyc03g098020	Solyc04g078090
Solyc03g098030	Solyc04g078100
Solyc03g098040	Solyc04g078110
Solyc03g098050	Solyc04g078120
Solyc03g098060	Solyc04g080160
Solyc03g121250	Solyc04g080170
Solyc03g121260	Solyc04g080180
Solyc03g121270	Solyc04g080190
Solyc03g121280	Solyc04g080200
Solyc03g121290	Solyc04g080210
Solyc03g121300	Solyc04g080220
Solyc03g121310	Solyc04g080230
Solyc03g121320	Solyc04g080240
Solyc03g121330	Solyc04g080250
Solyc03g121340	Solyc04g080260
Solyc03g121350	Solyc04g080270
Solyc03g121360	Solyc04g080280
Solyc03g121370	Solyc04g080640
Solyc03g121380	Solyc04g080650
Solyc03g121390	Solyc04g080660
Solyc03g121400	Solyc04g080670
Solyc03g121410	Solyc04g080680
Solyc03g121420	Solyc04g080690
Solyc03g121430	Solyc04g080700
Solyc03g121440	Solyc04g080710
Solyc03g121450	Solyc04g080720
Solyc03g121460	Solyc04g080730
Solyc03g121470	Solyc04g080740
Solyc03g121480	Solyc04g080750
Solyc03g121490	Solyc04g080760
Solyc03g121500	Solyc04g080770
Solyc03g121510	Solyc04g080780
Solyc03g121520	Solyc04g080790
Solyc03g121530	Solyc04g080800
Solyc03g121540	Solyc04g080810
Solyc03g121550	Solyc04g080820
Solyc03g121560	Solyc04g080830
Solyc03g121570	Solyc04g080840
Solyc03g121580	Solyc04g080850
Solyc03g121590	Solyc04g080860
Solyc03g121600	Solyc04g080870
Solyc03g121610	Solyc04g080880
Solyc03g121620	Solyc04g080890
Solyc03g121630	Solyc04g080900
Solyc03g121640	Solyc04g080910
Solyc03g121650	Solyc04g080920
Solyc03g121850	Solyc04g080930
Solyc03g121860	Solyc04g080940
Solyc03g121870	Solyc04g080950
Solyc03g121880	Solyc04g080960
Solyc03g121890	Solyc04g080970
Solyc03g121900	Solyc04g080980
Solyc03g121910	Solyc04g080990
Solyc03g121920	Solyc04g081000
Solyc03g121930	Solyc04g081010
Solyc03g121940	Solyc04g081020
Solyc03g121950	Solyc04g081030
Solyc03g121960	Solyc04g081040
Solyc03g121970	Solyc04g081050
Solyc03g121980	Solyc04g081060
Solyc03g121990	Solyc04g081070
Solyc03g122000	Solyc04g081080
Solyc03g122010	Solyc04g081090
Solyc03g122020	Solyc04g081100
Solyc03g122030	Solyc04g081110
Solyc03g122040	Solyc04g081120
Solyc03g122050	Solyc04g081130
Solyc03g122060	Solyc04g081140
Solyc03g122070	Solyc04g081150
Solyc03g122080	Solyc04g081160
Solyc03g122090	Solyc04g081170
Solyc03g122100	Solyc04g081180
Solyc03g122110	Solyc04g081190
Solyc03g122120	Solyc04g081200
Solyc03g122130	Solyc04g081210
Solyc03g122140	Solyc04g081220
Solyc03g122150	Solyc04g081230
Solyc03g122160	Solyc04g081240
Solyc03g122170	Solyc04g081250
Solyc03g122180	Solyc04g081260
Solyc03g122190	Solyc04g081270
Solyc03g122200	Solyc04g081280
Solyc03g122210	Solyc04g081290
Solyc03g122220	Solyc04g081300
Solyc03g122230	Solyc04g081310
Solyc03g122240	Solyc04g081320
Solyc03g122250	Solyc04g081330
Solyc03g122260	Solyc04g081340
Solyc03g122270	Solyc04g081350
Solyc03g122280	Solyc04g081360
Solyc03g122290	Solyc04g081370
Solyc03g122300	Solyc04g081380
Solyc03g122310	Solyc04g081390
Solyc03g122320	Solyc04g081400
Solyc03g122330	Solyc04g081410
Solyc03g122340	Solyc04g081420
Solyc03g122350	Solyc04g081430
Solyc03g122360	Solyc04g081440
Solyc03g122370	Solyc04g081450
Solyc03g123370	Solyc04g081460
Solyc03g123380	Solyc04g081470
Solyc03g123390	Solyc04g081480
Solyc03g123400	Solyc04g081490
Solyc03g123410	Solyc04g081500
Solyc03g123420	Solyc04g081510
Solyc03g123430	Solyc04g081520
Solyc03g123440	Solyc04g081530
Solyc03g123450	Solyc04g081540
Solyc03g123460	Solyc04g081550
Solyc03g123470	Solyc04g081560
Solyc03g123480	Solyc04g081570
Solyc03g123490	Solyc04g081580
Solyc03g123500	Solyc04g081590
Solyc03g123510	Solyc04g081600
Solyc03g123520	Solyc04g081610
Solyc03g123530	Solyc04g081620
Solyc03g123540	Solyc04g081630
Solyc03g123550	Solyc04g081640
Solyc03g123560	Solyc04g081650
Solyc03g123570	Solyc04g081660
Solyc03g123580	Solyc04g081670
Solyc03g123590	Solyc04g081680
Solyc03g123600	Solyc04g081690
Solyc03g123610	Solyc04g081700
Solyc03g123620	Solyc04g081710
Solyc03g123630	Solyc04g081720
Solyc03g123640	Solyc04g081730
Solyc03g123650	Solyc04g081740
Solyc03g123660	Solyc04g081750
Solyc03g123670	Solyc04g081760
Solyc03g123680	Solyc04g081770
Solyc03g123690	Solyc04g081780
Solyc03g123700	Solyc04g081790
Solyc03g123710	Solyc04g081800
Solyc03g123720	Solyc04g081810
Solyc03g123730	Solyc04g081820
Solyc03g123740	Solyc04g081830
Solyc03g123750	Solyc04g081840
Solyc03g123760	Solyc04g081850
Solyc03g123770	Solyc04g081860
Solyc03g123780	Solyc04g081870
Solyc03g123790	Solyc04g081880
Solyc03g123800	Solyc04g081890
Solyc03g123810	Solyc04g081900
Solyc03g123820	Solyc05g005020
Solyc03g123830	Solyc05g005030
Solyc03g123840	Solyc05g005040
Solyc03g123850	Solyc05g005050
Solyc03g123860	Solyc05g005060
Solyc03g123870	Solyc05g005070
Solyc03g123880	Solyc05g005080
Solyc03g123890	Solyc05g005090
Solyc04g005060	Solyc05g005100
Solyc04g005070	Solyc05g005110
Solyc04g005080	Solyc05g005120
Solyc04g005090	Solyc05g005130
Solyc04g005100	Solyc05g005140
Solyc04g005110	Solyc05g005150
Solyc04g005120	Solyc05g005160
Solyc04g005130	Solyc05g005170
Solyc04g005140	Solyc05g005180
Solyc04g005150	Solyc05g005190
Solyc04g005160	Solyc05g005200
Solyc04g005170	Solyc05g005210
Solyc04g005180	Solyc05g005220
Solyc04g005190	Solyc05g005230
Solyc04g005200	Solyc05g005240
Solyc04g005210	Solyc05g005250
Solyc04g005220	Solyc05g005260
Solyc04g005230	Solyc05g005270
Solyc04g005240	Solyc05g005280
Solyc04g005250	Solyc05g005290
Solyc04g005260	Solyc05g005300
Solyc04g005270	Solyc05g005310
Solyc04g005280	Solyc05g005320
Solyc04g005290	Solyc05g005330
Solyc04g005300	Solyc05g005340
Solyc04g005310	Solyc05g005350
Solyc04g005320	Solyc05g005360
Solyc04g005330	Solyc05g005370
Solyc04g005340	Solyc05g005380
Solyc04g005350	Solyc05g005390
Solyc04g005360	Solyc05g005400
Solyc04g005370	Solyc05g005410
Solyc04g005380	Solyc05g005420
Solyc04g005390	Solyc05g005430
Solyc04g005400	Solyc05g005440
Solyc04g005410	Solyc05g005450
Solyc04g005420	Solyc05g005460
Solyc04g005430	Solyc05g005470
Solyc04g005440	Solyc05g005480
Solyc04g005450	Solyc05g005490
Solyc04g005460	Solyc05g005500
Solyc04g005470	Solyc05g005510
Solyc04g005480	Solyc05g005520
Solyc04g005490	Solyc05g005530
Solyc04g005500	Solyc05g005540
Solyc04g005510	Solyc05g005550
Solyc04g005520	Solyc05g005560
Solyc04g005530	Solyc05g005570
Solyc04g005540	Solyc05g005580
Solyc04g005550	Solyc05g005590
Solyc04g005560	Solyc05g005600
Solyc04g005570	Solyc05g005610
Solyc04g005580	Solyc05g005620
Solyc04g005590	Solyc05g005630
Solyc04g005600	Solyc05g005640
Solyc04g005610	Solyc05g005650
Solyc04g005620	Solyc05g005660
Solyc04g005630	Solyc05g005670
Solyc04g005640	Solyc05g005680
Solyc04g005650	Solyc05g005690
Solyc04g005660	Solyc05g005700
Solyc04g005670	Solyc05g005710
Solyc04g005680	Solyc05g005720
Solyc04g005690	Solyc05g005730
Solyc04g005700	Solyc05g005740
Solyc04g005710	Solyc05g005750
Solyc04g005720	Solyc05g005760
Solyc04g005900	Solyc05g005770
Solyc04g005910	Solyc05g005780
Solyc04g005920	Solyc05g005790
Solyc04g005930	Solyc05g005800
Solyc04g006930	Solyc05g005810
Solyc04g006940	Solyc05g005820
Solyc04g006950	Solyc05g005830
Solyc04g006960	Solyc05g005840
Solyc04g006970	Solyc05g005850
Solyc04g006980	Solyc05g005860
Solyc04g007140	Solyc05g005870
Solyc04g007150	Solyc05g005880
Solyc04g007160	Solyc05g005890
Solyc04g007170	Solyc05g005900
Solyc04g007180	Solyc05g005910
Solyc04g007190	Solyc05g005920
Solyc04g007200	Solyc05g005930
Solyc04g007210	Solyc05g005940
Solyc04g007220	Solyc05g005950
Solyc04g007230	Solyc05g005960
Solyc04g007240	Solyc05g005970
