Accessions	SlFM0600	class
TS-258	165045.7022	CER
TS-259	134247.2646	BIG
TS-261	297130.2939	BIG
TS-262	479478.8822	CER
TS-263	196768.8498	BIG
TS-264	554245.7805	BIG
TS-266	401784.0873	PIM
TS-268	394282.3099	BIG
TS-269	435036.8236	BIG
TS-270	307960.3365	BIG
TS-271	446337.1282	CER
TS-272	337616.4504	BIG
TS-273	437388.0037	CER
TS-275	575496.6189	BIG
TS-276	348028.9718	BIG
TS-278	369216.9477	BIG
TS-280	726670.7651	CER
TS-281	484402.761	CER
TS-283	391805.1336	CER
TS-284	483301.6277	CER
TS-285	300223.5531	BIG
TS-286	433110.0552	CER
TS-288	494822.934	BIG
TS-290	633107.9851	CER
TS-292	283578.2064	BIG
TS-294	349549.8576	CER
TS-296	100093.9084	BIG
TS-297	62161.98495	BIG
TS-298	309508.2973	CER
TS-299	407965.0265	CER
TS-300	288556.3857	CER
TS-301	491784.765	CER
TS-302	566228.7282	CER
TS-303	582996.4228	CER
TS-400	129740.744	BIG
TS-401	234609.8267	BIG
TS-415	168850.9107	PIM
TS-416	518867.1292	PIM
TS-418	85791.89175	PIM
TS-419	1194460.107	PIM
TS-420	657543.7777	PIM
TS-425	217767.107	PIM
TS-428	360171.2113	CER
TS-430	560366.0001	CER
TS-432	901283.461	PIM
TS-433	779042.319	PIM
